PMC6613603	R02006	98	136	FA 7:0;3(2:0;2Me);6oxo
PMC3426673	A02000	27	34	FA 20:5;OH
PMC3741366	M10007	379	386	FA 20:5;OH
PMC3426673	R07013	90	97	FA 20:5;OH
PMC5357680	A05001	388	395	FA 20:5;OH
PMC3426673	A00007	107	114	FA 20:5;OH
PMC3741366	M06024	379	386	FA 20:5;OH
PMC5156423	D00009	10	17	FA 20:5;OH
PMC3741366	R03001	185	192	FA 20:5;OH
PMC3426673	R07015	16	23	FA 20:5;OH
PMC5810980	D00019	120	127	FA 20:4;OH
PMC3426673	R07005	112	119	FA 20:4;OH
PMC6314687	R12006	37	44	FA 20:4;OH
PMC6047792	M02012	85	92	FA 20:4;OH
PMC6047792	M04000	85	92	FA 20:4;OH
PMC4169337	R02019	125	132	FA 20:4;OH
PMC3568070	M01015	168	175	FA 20:4;OH
PMC6314687	R12005	22	29	FA 20:4;OH
PMC6047792	M02027	333	340	FA 20:4;OH
PMC3426673	R00015	64	71	FA 20:4;OH
PMC3426673	R07006	17	24	FA 20:4;OH
PMC5156423	D00006	50	57	FA 20:4;OH
PMC6047792	R01009	147	154	FA 20:4;OH
PMC3426673	R07009	96	103	FA 20:4;OH
PMC6660083	R11021	3	10	FA 20:4;OH
PMC3741366	M06024	1694	1701	FA 20:4;OH
PMC3426673	A02000	18	25	FA 20:4;OH
PMC3568070	M01004	53	60	FA 20:4;OH
PMC5810980	D00030	15	22	FA 20:4;OH
PMC4169337	D01000	0	7	FA 20:4;OH
PMC3426673	R07013	27	34	FA 20:4;OH
PMC5156423	R01004	100	107	FA 20:4;OH
PMC4169337	D01004	14	21	FA 20:4;OH
PMC3426673	A00007	95	102	FA 20:4;OH
PMC6047792	M04015	333	340	FA 20:4;OH
PMC4169337	D01001	0	7	FA 20:4;OH
PMC5810980	D00020	76	83	FA 20:4;OH
PMC4169337	D01002	29	36	FA 20:4;OH
PMC4169337	R06004	125	132	FA 20:4;OH
PMC3741366	M10007	1694	1701	FA 20:4;OH
PMC3741366	R04005	272	279	FA 20:4;OH
PMC3741366	R01001	49	56	FA 20:4;OH
PMC6457987	D02022	78	85	FA 20:4;OH
PMC6047792	R01004	124	131	FA 20:4;OH
PMC3741366	R03001	94	101	FA 20:4;OH
PMC6457987	D02024	10	17	FA 20:4;OH
PMC5156423	R01011	91	98	FA 20:4;OH
PMC6660083	R07000	0	7	FA 20:4;OH
PMC3426673	R07008	35	42	FA 20:4;OH
PMC3426673	R01015	147	155	FA 20:4;OOH
PMC3426673	R03009	0	8	FA 20:4;OOH
PMC2741455	R04010	139	178	FA 17:2(8E,10E);12OH
PMC3741366	R01001	58	89	FA 20:5;12OH
PMC3321123	D00024	39	70	FA 20:4;12OH
PMC4169337	A02000	9	40	FA 20:4;12OH
PMC5810980	D00030	24	53	FA 20:3;12OH
PMC6572825	R05007	68	80	FA 18:1;(OH)2
PMC6572825	R07008	11	23	FA 18:1;(OH)2
PMC4778071	D01004	32	44	FA 18:1;(OH)2
PMC6572825	R07006	11	23	FA 18:1;(OH)2
PMC6572825	D00018	113	125	FA 18:1;(OH)2
PMC4778071	D01005	22	34	FA 18:1;(OH)2
PMC4778071	D01005	189	201	FA 18:1;(OH)2
PMC4778071	D01007	5	17	FA 18:1;(OH)2
PMC6572825	R02011	50	62	FA 18:1;(OH)2
PMC4778071	D01008	42	54	FA 18:1;(OH)2
PMC6572825	R07003	41	53	FA 18:1;(OH)2
PMC6885810	R02013	25	71	FA 18:1(9);(OH)2;OMe
PMC4778071	D01007	22	33	FA 18:1;Ep
PMC6314687	R10012	54	65	FA 18:1;Ep
PMC4778071	D01005	210	221	FA 18:1;Ep
PMC6314687	R10006	106	117	FA 18:1;Ep
PMC3741366	M06024	240	247	FA 18:2;OH
PMC6314687	R03013	46	53	FA 18:2;OH
PMC6314687	R03013	303	310	FA 18:2;OH
PMC3741366	R01001	215	222	FA 18:2;OH
PMC3741366	M10007	240	247	FA 18:2;OH
PMC5986528	D00028	76	83	FA 18:2;OH
PMC3741366	R03001	128	135	FA 18:2;OH
PMC3890711	R00045	26	33	FA 18:2;OH
PMC3426673	R03009	29	37	FA 18:2;OOH
PMC3426673	R01015	176	184	FA 18:2;OOH
PMC6314687	M00006	206	245	FA 18:0;9Ep;13OH
PMC6314687	M00006	406	441	FA 18:0;9Ep;13oxo
PMC5278923	R01017	215	246	FA 18:2;13OH
PMC6877605	R03003	327	358	FA 18:2;13OH
PMC6877605	D04010	14	45	FA 18:2;13OH
PMC6877605	R01015	327	358	FA 18:2;13OH
PMC6877605	R04001	169	200	FA 18:2;13OH
PMC5278923	A02002	86	117	FA 18:2;13OH
PMC6457987	D01015	66	74	FA 22:6;OH
PMC6457987	D02030	90	98	FA 22:6;OH
PMC5009176	R10005	104	112	FA 22:6;OH
PMC5156423	R01011	62	70	FA 22:6;OH
PMC5009176	R07016	104	112	FA 22:6;OH
PMC6457987	D01014	104	112	FA 22:6;OH
PMC5009176	D00036	154	162	FA 22:6;OH
PMC5009176	A00005	99	107	FA 22:6;OH
PMC5156423	R01003	100	108	FA 22:6;OH
PMC5156423	D00009	23	31	FA 22:6;OH
PMC3741366	R01001	141	171	FA 22:6;14OH
PMC5009176	R07015	155	167	FA 20:4;(OH)2
PMC5009176	R10004	155	167	FA 20:4;(OH)2
PMC5009176	D00038	27	39	FA 20:4;(OH)2
PMC3426673	R06008	154	166	FA 20:4;(OH)2
PMC5009176	D00038	58	71	FA 20:3;(OH)2
PMC5009176	R10005	73	86	FA 20:3;(OH)2
PMC5009176	R07016	73	86	FA 20:3;(OH)2
PMC3426673	R06018	48	61	FA 20:3;(OH)2
PMC6572825	R03008	64	77	FA 20:3;(OH)2
PMC4544761	R00022	103	112	FA 20:3;Ep
PMC4544761	M01003	240	249	FA 20:3;Ep
PMC5156423	R02003	98	107	FA 20:3;Ep
PMC6818879	A02001	316	325	FA 20:3;Ep
PMC3741366	M06024	426	433	FA 20:5;OH
PMC4778071	D01013	15	22	FA 20:5;OH
PMC3741366	R01001	224	231	FA 20:5;OH
PMC5928440	R01005	240	247	FA 20:5;OH
PMC3741366	M10007	426	433	FA 20:5;OH
PMC5928440	R02003	113	120	FA 20:5;OH
PMC6572825	R05005	199	206	FA 20:5;OH
PMC5928440	R01005	202	209	FA 20:4;OH
PMC3741366	R01001	206	213	FA 20:4;OH
PMC5103193	R02011	10	17	FA 20:4;OH
PMC3568070	A04002	44	51	FA 20:4;OH
PMC3741366	R03001	103	110	FA 20:4;OH
PMC3568070	M01015	177	184	FA 20:4;OH
PMC3741366	R02002	86	93	FA 20:4;OH
PMC5103193	M01003	71	78	FA 20:4;OH
PMC4169337	R06004	105	112	FA 20:4;OH
PMC3741366	M10007	1741	1748	FA 20:4;OH
PMC6047792	M02012	94	101	FA 20:4;OH
PMC4169337	R12015	29	36	FA 20:4;OH
PMC5928440	R02004	49	56	FA 20:4;OH
PMC5810980	D00020	88	95	FA 20:4;OH
PMC3568070	M01017	35	42	FA 20:4;OH
PMC5928440	D00015	42	49	FA 20:4;OH
PMC4169337	D01004	26	33	FA 20:4;OH
PMC4169337	D01000	12	19	FA 20:4;OH
PMC6314687	R03000	194	201	FA 20:4;OH
PMC6047792	R01009	179	186	FA 20:4;OH
PMC3568070	D00002	69	76	FA 20:4;OH
PMC5928440	D00024	74	81	FA 20:4;OH
PMC5103193	R02010	175	182	FA 20:4;OH
PMC5928440	A02015	0	7	FA 20:4;OH
PMC3741366	M06024	1741	1748	FA 20:4;OH
PMC4169337	A02000	52	59	FA 20:4;OH
PMC6818879	A02001	159	166	FA 20:4;OH
PMC5156423	R02005	0	7	FA 20:4;OH
PMC3568070	R00021	7	14	FA 20:4;OH
PMC3568070	D00001	51	58	FA 20:4;OH
PMC4169337	D00001	49	56	FA 20:4;OH
PMC6818879	A02002	33	40	FA 20:4;OH
PMC6047792	M02027	265	272	FA 20:4;OH
PMC5928440	D00013	41	48	FA 20:4;OH
PMC5103193	D00024	207	214	FA 20:4;OH
PMC6047792	M04015	265	272	FA 20:4;OH
PMC6047792	R01004	133	140	FA 20:4;OH
PMC6047792	M02017	11	18	FA 20:4;OH
PMC3741366	D00031	75	82	FA 20:4;OH
PMC6047792	M04005	11	18	FA 20:4;OH
PMC5357680	D00039	91	98	FA 20:4;OH
PMC5103193	D00024	120	127	FA 20:4;OH
PMC6047792	M04000	94	101	FA 20:4;OH
PMC5928440	D00024	340	347	FA 20:4;OH
PMC4169337	D01003	0	7	FA 20:4;OH
PMC5928440	A02013	181	188	FA 20:4;OH
PMC4169337	R02019	105	112	FA 20:4;OH
PMC3426673	R03009	10	18	FA 20:4;OOH
PMC3426673	R01015	157	165	FA 20:4;OOH
PMC3590212	D00036	52	84	FA 20:4;15OH
PMC3590212	R01014	229	261	FA 20:4;15OH
PMC5103193	A01020	92	123	FA 20:4;15OH
PMC3568070	M01004	12	43	FA 20:4;15OH
PMC3568070	R00010	61	92	FA 20:4;15OH
PMC6885810	R02008	51	80	FA 24:1(18Z);15oxo
PMC3568070	M01000	241	275	FA 20:4;15OH
PMC6572825	R03023	91	103	FA 18:2;(OH)2
PMC6572825	R05007	96	108	FA 18:2;(OH)2
PMC6572825	R02011	156	168	FA 18:2;(OH)2
PMC2833138	R01022	58	107	FA 20:4(5Z,8Z,11Z,13E);15OH
PMC2833138	R01011	195	244	FA 20:4(5Z,8Z,11Z,13E);15OH
PMC5009176	R10004	39	47	FA 22:6;OH
PMC5009176	R07015	39	47	FA 22:6;OH
PMC5009176	D00028	100	108	FA 22:6;OH
PMC6457987	D02020	13	20	FA 20:4;OH
PMC6457987	D02021	206	213	FA 20:4;OH
PMC6457987	D02033	160	167	FA 20:4;OH
PMC6457987	D01016	87	95	FA 22:6;OH
PMC6457987	D01017	33	41	FA 22:6;OH
PMC6457987	D02033	169	176	FA 20:4;OH
PMC6457987	D02020	22	29	FA 20:4;OH
PMC6457987	D02021	215	222	FA 20:4;OH
PMC3568070	M01003	16	47	FA 22:6;17OH
PMC6572825	R05005	178	189	FA 20:4;Ep
PMC6314687	R10010	206	213	FA 20:5;OH
PMC5928440	D00015	65	72	FA 20:5;OH
PMC3741366	M06024	628	635	FA 20:5;OH
PMC5928440	R01005	252	259	FA 20:5;OH
PMC3741366	M10007	628	635	FA 20:5;OH
PMC5928440	R02003	122	129	FA 20:5;OH
PMC6416208	R06004	96	103	FA 20:5;OH
PMC5928440	D00012	62	69	FA 20:5;OH
PMC6314687	R10011	74	81	FA 20:5;OH
PMC6416208	R06007	88	95	FA 20:5;OH
PMC6457987	D02020	34	41	FA 20:4;OH
PMC6457987	D02033	181	188	FA 20:4;OH
PMC6572825	D00018	142	155	FA 22:5;(OH)2
PMC6572825	R03008	84	97	FA 22:5;(OH)2
PMC6572825	R03020	77	90	FA 22:5;(OH)2
PMC5836369	D00030	139	159	FA 4:0;2NH2
PMC5836369	D00031	0	20	FA 4:0;2NH2
PMC5836369	D00032	60	80	FA 4:0;2NH2
PMC6650891	R00026	152	176	FA 6:0;COOH;2NH2
PMC6650891	D00016	48	72	FA 6:0;COOH;2NH2
PMC6650891	A00006	267	291	FA 6:0;COOH;2NH2
PMC6918408	R01024	28	48	FA 8:0;2NH2
PMC6918408	R01032	72	92	FA 8:0;2NH2
PMC4969608	D00018	0	18	FA 3:1(2);COOH
PMC4595831	D00025	133	153	FA 6:0;2Et
PMC5920367	D00027	66	86	FA 6:0;2Et
PMC5836369	D00030	252	272	FA 6:0;2Et
PMC6611759	R02006	39	48	FAL 6:1(2)
PMC6029417	D00011	238	247	FAL 6:1(2)
PMC6029417	R01014	205	214	FAL 6:1(2)
PMC3762851	R02046	78	110	FA 5:0;3Me;2OH
PMC5905995	R01003	88	110	FA 4:0;2OH
PMC6568258	D00023	7	29	FA 4:0;2OH
PMC4819600	R02017	36	58	FA 4:0;2OH
PMC5742855	D02003	13	35	FA 4:0;2OH
PMC5610547	R06010	405	427	FA 4:0;2OH
PMC6568258	D00030	74	96	FA 4:0;2OH
PMC5610547	R08001	405	427	FA 4:0;2OH
PMC5742855	A00004	98	120	FA 4:0;2OH
PMC6568258	R01002	84	106	FA 4:0;2OH
PMC6568258	D00042	0	22	FA 4:0;2OH
PMC4819600	R01017	36	58	FA 4:0;2OH
PMC5920367	D00032	27	42	FAL 4:0;2Me
PMC5920367	D00035	49	64	FAL 4:0;2Me
PMC5920367	A00006	64	79	FAL 4:0;2Me
PMC5920367	R00038	86	101	FAL 4:0;2Me
PMC5920367	R02006	86	101	FAL 4:0;2Me
PMC5920367	R03026	299	314	FAL 4:0;2Me
PMC6029417	D00011	134	149	FAL 4:0;2Me
PMC5920367	R00032	76	91	FAL 4:0;2Me
PMC5920367	R00050	299	314	FAL 4:0;2Me
PMC5920367	R03004	69	84	FAL 4:0;2Me
PMC5920367	D00033	105	120	FAL 4:0;2Me
PMC5920367	R03014	86	101	FAL 4:0;2Me
PMC6029417	R01014	101	116	FAL 4:0;2Me
PMC5920367	R00017	86	101	FAL 4:0;2Me
PMC5920367	D00003	108	123	FAL 4:0;2Me
PMC5920367	R03011	35	50	FAL 4:0;2Me
PMC5920367	D00031	38	53	FAL 4:0;2Me
PMC5920367	D00007	35	50	FAL 4:0;2Me
PMC5920367	R00028	69	84	FAL 4:0;2Me
PMC5920367	R03008	76	91	FAL 4:0;2Me
PMC5920367	R00035	35	50	FAL 4:0;2Me
PMC5920367	D00020	86	101	FAL 4:0;2Me
PMC5882858	D00019	34	51	FAL 11:0;2Me
PMC5882858	R00020	140	157	FAL 11:0;2Me
PMC5882858	R00036	253	270	FAL 11:0;2Me
PMC6611759	R06019	31	40	FAL 8:1(2)
PMC6885810	R02008	82	103	FA 22:0;2oxo
PMC6611759	R02007	13	24	FAL 11:1(2)
PMC3762851	R03023	171	197	FA 4:0;2OH,4OH
PMC4132238	D00015	15	41	FA 4:0;2OH,4OH
PMC5746360	R04011	90	110	FA 6:2(2,4)
PMC5746360	D00026	58	78	FA 6:2(2,4)
PMC5746360	D00023	79	99	FA 6:2(2,4)
PMC5746360	R04002	114	134	FA 6:2(2,4)
PMC5746360	R04011	232	252	FA 6:2(2,4)
PMC5746360	D00022	60	80	FA 6:2(2,4)
PMC5746360	A02001	57	77	FA 6:2(2,4)
PMC5746360	R04000	156	176	FA 6:2(2,4)
PMC5746360	R04004	111	131	FA 6:2(2,4)
PMC5746360	R04003	56	76	FA 6:2(2,4)
PMC5746360	D00035	33	53	FA 6:2(2,4)
PMC5746360	R04005	243	263	FA 6:2(2,4)
PMC5746360	R04005	83	103	FA 6:2(2,4)
PMC5746360	D00034	152	172	FA 6:2(2,4)
PMC5746360	D00025	41	61	FA 6:2(2,4)
PMC5746360	A03000	20	40	FA 6:2(2,4)
PMC6047792	R01004	142	149	FA 20:4;OH
PMC4544761	M02008	138	145	FA 20:4;OH
PMC6047792	D00018	77	84	FA 20:4;OH
PMC3601443	D00012	40	47	FA 20:4;OH
PMC4544761	D00000	238	245	FA 20:4;OH
PMC6047792	R01006	27	34	FA 20:4;OH
PMC4544761	D01002	12	19	FA 20:4;OH
PMC3601443	M06002	75	82	FA 20:4;OH
PMC4544761	D00008	91	98	FA 20:4;OH
PMC3601443	R02004	123	130	FA 20:4;OH
PMC4544761	A02004	45	52	FA 20:4;OH
PMC4544761	D00018	3	10	FA 20:4;OH
PMC4544761	D00006	70	77	FA 20:4;OH
PMC6047792	M04000	103	110	FA 20:4;OH
PMC4544761	D00019	98	105	FA 20:4;OH
PMC4544761	D00021	11	18	FA 20:4;OH
PMC4544761	R00008	7	14	FA 20:4;OH
PMC6457987	D01011	143	150	FA 20:4;OH
PMC4544761	D00010	50	57	FA 20:4;OH
PMC6047792	D00006	88	95	FA 20:4;OH
PMC3601443	R00000	80	87	FA 20:4;OH
PMC6047792	D00029	28	35	FA 20:4;OH
PMC6047792	A03001	141	148	FA 20:4;OH
PMC4544761	D00003	26	33	FA 20:4;OH
PMC3601443	D00010	91	98	FA 20:4;OH
PMC6047792	A03000	59	66	FA 20:4;OH
PMC3601443	D00009	74	81	FA 20:4;OH
PMC6047792	R01016	38	45	FA 20:4;OH
PMC6047792	D00019	38	45	FA 20:4;OH
PMC4544761	D00030	35	42	FA 20:4;OH
PMC3601443	A05010	57	64	FA 20:4;OH
PMC4544761	A00008	37	44	FA 20:4;OH
PMC3426673	R03006	81	88	FA 20:4;OH
PMC6047792	D00007	104	111	FA 20:4;OH
PMC6457987	D01007	57	64	FA 20:4;OH
PMC3741366	M10007	748	755	FA 20:4;OH
PMC5009176	D00016	87	94	FA 20:4;OH
PMC4544761	R00008	91	98	FA 20:4;OH
PMC3601443	R01000	63	70	FA 20:4;OH
PMC6457987	D01010	97	104	FA 20:4;OH
PMC3601443	M05007	250	257	FA 20:4;OH
PMC6315409	D00007	46	53	FA 20:4;OH
PMC4544761	D00017	35	42	FA 20:4;OH
PMC3601443	D00000	280	287	FA 20:4;OH
PMC6047792	M02012	103	110	FA 20:4;OH
PMC3601443	R02000	80	87	FA 20:4;OH
PMC3601443	D00004	151	158	FA 20:4;OH
PMC3601443	M01000	9	16	FA 20:4;OH
PMC4544761	A00008	149	156	FA 20:4;OH
PMC6047792	D00016	40	47	FA 20:4;OH
PMC4544761	D00012	67	74	FA 20:4;OH
PMC6457987	D01012	132	139	FA 20:4;OH
PMC4544761	A01000	13	20	FA 20:4;OH
PMC3601443	D00011	140	147	FA 20:4;OH
PMC4544761	R00009	25	32	FA 20:4;OH
PMC6047792	D00009	43	50	FA 20:4;OH
PMC4544761	A02006	0	7	FA 20:4;OH
PMC3601443	D00013	95	102	FA 20:4;OH
PMC4544761	R00034	7	14	FA 20:4;OH
PMC3601443	D00010	0	7	FA 20:4;OH
PMC4544761	D00011	155	162	FA 20:4;OH
PMC6047792	D00017	49	56	FA 20:4;OH
PMC3601443	A05009	66	73	FA 20:4;OH
PMC4544761	D00019	275	282	FA 20:4;OH
PMC3426673	R05007	164	171	FA 20:4;OH
PMC4544761	D00019	169	176	FA 20:4;OH
PMC6314687	R11007	55	62	FA 20:4;OH
PMC6047792	M02027	197	204	FA 20:4;OH
PMC4544761	R00033	64	71	FA 20:4;OH
PMC3601443	D00001	133	140	FA 20:4;OH
PMC4544761	D00014	20	27	FA 20:4;OH
PMC6047792	D00032	257	264	FA 20:4;OH
PMC4544761	D01001	86	93	FA 20:4;OH
PMC3601443	A05008	131	138	FA 20:4;OH
PMC4544761	D00009	92	99	FA 20:4;OH
PMC6047792	A02003	30	37	FA 20:4;OH
PMC6047792	D00035	38	45	FA 20:4;OH
PMC6047792	R01007	14	21	FA 20:4;OH
PMC3601443	D00014	124	131	FA 20:4;OH
PMC6047792	R01009	112	119	FA 20:4;OH
PMC4544761	D00022	16	23	FA 20:4;OH
PMC6047792	R01017	34	41	FA 20:4;OH
PMC3601443	A01001	85	92	FA 20:4;OH
PMC6047792	D00039	54	61	FA 20:4;OH
PMC6047792	D00014	69	76	FA 20:4;OH
PMC3601443	R03000	21	28	FA 20:4;OH
PMC3601443	A05006	31	38	FA 20:4;OH
PMC3601443	R03003	0	7	FA 20:4;OH
PMC4544761	D00007	41	48	FA 20:4;OH
PMC4544761	R00007	169	176	FA 20:4;OH
PMC4544761	D00019	38	45	FA 20:4;OH
PMC6457987	D03009	40	47	FA 20:4;OH
PMC4544761	M01003	180	187	FA 20:4;OH
PMC3601443	M02001	0	7	FA 20:4;OH
PMC4544761	A02008	170	177	FA 20:4;OH
PMC3601443	A01002	100	107	FA 20:4;OH
PMC3426673	R01027	164	171	FA 20:4;OH
PMC4544761	R00036	66	73	FA 20:4;OH
PMC3601443	M05007	159	166	FA 20:4;OH
PMC4544761	A00004	7	14	FA 20:4;OH
PMC4544761	A00005	7	14	FA 20:4;OH
PMC6047792	A02000	39	46	FA 20:4;OH
PMC4544761	D00030	130	137	FA 20:4;OH
PMC4544761	A02009	184	191	FA 20:4;OH
PMC4544761	A02006	60	67	FA 20:4;OH
PMC4544761	A00006	25	32	FA 20:4;OH
PMC4544761	D01001	36	43	FA 20:4;OH
PMC4544761	D00012	282	289	FA 20:4;OH
PMC4544761	A00002	46	53	FA 20:4;OH
PMC4544761	D00011	55	62	FA 20:4;OH
PMC3601443	A03000	99	106	FA 20:4;OH
PMC3601443	A02002	9	16	FA 20:4;OH
PMC3601443	D00001	103	110	FA 20:4;OH
PMC3601443	A05007	0	7	FA 20:4;OH
PMC4544761	R00010	115	122	FA 20:4;OH
PMC6047792	R01019	128	135	FA 20:4;OH
PMC4544761	R00007	29	36	FA 20:4;OH
PMC4544761	D00020	130	137	FA 20:4;OH
PMC4544761	D00001	76	83	FA 20:4;OH
PMC6047792	D00031	70	77	FA 20:4;OH
PMC3601443	A02001	53	60	FA 20:4;OH
PMC4544761	D00019	203	210	FA 20:4;OH
PMC4544761	D00015	58	65	FA 20:4;OH
PMC4544761	D00013	23	30	FA 20:4;OH
PMC6047792	R01022	32	39	FA 20:4;OH
PMC3601443	A04000	76	83	FA 20:4;OH
PMC3601443	D00000	117	124	FA 20:4;OH
PMC4544761	R00035	62	69	FA 20:4;OH
PMC3741366	M06024	748	755	FA 20:4;OH
PMC6457987	D01005	67	74	FA 20:4;OH
PMC3426673	R01013	81	88	FA 20:4;OH
PMC6047792	A02002	58	65	FA 20:4;OH
PMC3601443	D00000	222	229	FA 20:4;OH
PMC4544761	D00017	88	95	FA 20:4;OH
PMC3601443	R02001	124	131	FA 20:4;OH
PMC3601443	D00012	181	188	FA 20:4;OH
PMC3601443	M05002	241	248	FA 20:4;OH
PMC6047792	M04015	197	204	FA 20:4;OH
PMC4544761	D00007	81	88	FA 20:4;OH
PMC4544761	A02003	92	123	FA 20:4;20OH
PMC6047792	D00010	0	31	FA 20:4;20OH
PMC3601443	A00000	0	31	FA 20:4;20OH
PMC3601443	A04000	0	31	FA 20:4;20OH
PMC2995269	D00028	132	164	FA 4:0;2Me;3OH
PMC2995269	D00021	73	105	FA 4:0;2Me;3OH
PMC3719870	D00030	67	92	FA 20:0;3OH
PMC3734953	R09030	288	313	FA 20:0;3OH
PMC6761105	D00039	17	39	FA 4:0;3OH
PMC5742855	R01004	7	29	FA 4:0;3OH
PMC5931366	R04003	188	210	FA 4:0;3OH
PMC5742855	A00004	129	151	FA 4:0;3OH
PMC5931366	R01003	29	51	FA 4:0;3OH
PMC5931366	R04013	142	164	FA 4:0;3OH
PMC5742855	D02001	0	22	FA 4:0;3OH
PMC5931366	R06002	12	34	FA 4:0;3OH
PMC5742855	R00009	84	106	FA 4:0;3OH
PMC5931366	R06003	130	152	FA 4:0;3OH
PMC6761105	R01002	30	52	FA 4:0;3OH
PMC5931366	D05009	29	51	FA 4:0;3OH
PMC6875220	R00040	270	293	FA 3:0;3OH
PMC5358966	R01037	175	198	FA 3:0;3OH
PMC6875220	R00028	89	112	FA 3:0;3OH
PMC6875220	R00031	290	313	FA 3:0;3OH
PMC6877605	R03003	164	194	FA 13:0;COOH;3OH
PMC6877605	R01015	164	194	FA 13:0;COOH;3OH
PMC4132238	R00027	92	118	FA 4:0;3OH,4OH
PMC4132238	D00013	39	65	FA 4:0;3OH,4OH
PMC4132238	A00005	51	77	FA 4:0;3OH,4OH
PMC4372431	R01018	96	110	FAL 4:0;4NH2
PMC4372431	R01016	203	217	FAL 4:0;4NH2
PMC4372431	D00029	218	232	FAL 4:0;4NH2
PMC4372431	D00031	113	127	FAL 4:0;4NH2
PMC5175266	M00002	98	118	FA 4:0;4NH2
PMC5836369	D00030	189	209	FA 4:0;4NH2
PMC5175266	D03002	80	100	FA 4:0;4NH2
PMC5836369	R04002	53	73	FA 4:0;4NH2
PMC5836369	R00044	53	73	FA 4:0;4NH2
PMC6611759	R06019	10	29	FAL 10:1(2);OH
PMC6611759	R02027	0	21	FAL 12:1(2);OH
PMC6611759	R02038	31	54	FAL 16:1(2);OH
PMC2818256	A00001	27	46	FAL 9:1(2);OH
PMC6611759	R06001	79	98	FAL 9:1(2);OH
PMC6611759	R01024	83	102	FAL 9:1(2);OH
PMC2818256	A01000	34	53	FAL 9:1(2);OH
PMC6611759	R01020	180	199	FAL 9:1(2);OH
PMC2818256	A00004	27	52	FA 9:1(2);OH
PMC6611759	R01024	170	199	FAL 15:2(2,6);OH
PMC6611759	R01019	6	35	FAL 15:2(2,6);OH
PMC6611759	R05018	41	58	FAL 9:0;4OH
PMC7046653	R03001	106	122	FAL 9:0;4OH
PMC7046653	R03008	188	204	FAL 9:0;4OH
PMC6029417	D00022	33	49	FAL 9:0;4OH
PMC6171500	D02006	165	181	FAL 9:0;4OH
PMC7046653	M11000	0	16	FAL 9:0;4OH
PMC4969608	R03009	126	149	FA 5:0;4OH
